Index,cafes name,Overall_Rating,Cuisine,Rate for two,location,Review,Neighborhood,Ambiance,Dietary_Options,Seating_Type,Work_Friendly,Special_Features,Opening_Hours,Alternative_Milk_Options,Food_Menu,Contact Mails,Contact_Number
216,Cafe Cremyday,2.7,"Cafe, Fast Food, Desserts, Beverages, Street Food, Momos, Sichuan",500,pune,"My friend visited this outlet yesterday to eat Veg masala grilled sandwich, burgers, fries & Anjeer mastani.. taste was good, masala inside sandwich was normal. Rest food were fine in taste wise",Old Town,Rustic,Vegan-friendly,Indoor,No,None,7 AM - 10 PM,Almond,Vegan & Organic Food,contact@cafecremyday.com,9.18E+11
217,Cafe Cremyday,2.7,"Cafe, Fast Food, Desserts, Beverages, Street Food, Momos, Sichuan",500,pune,"Staff is rude and uncooperative . Food is also not good . After eating here I had vomiting for 2 days and GIT infection. The service is also very slow. There are insects everywhere with flying abilities, so they can sit on your plate anytime! The place is also very unhygienic",Downtown,Quiet,Gluten-free options,Indoor,No,Live Music,6 AM - 8 PM,Soy,Vegan & Organic Food,contact@cafecremyday.com,9.18E+11
218,Cafe Cremyday,2.7,"Cafe, Fast Food, Desserts, Beverages, Street Food, Momos, Sichuan",500,pune,The food here is very tasty .i like to visit this place every time i am out . The cava here is the BEST ... must try .. the combos are amazing ... the maggi nornal cheeze and the vegetable all the very amazing . I like to eat here . The fries here are very nice and a lot in quantity !! Must visit ! !!,Old Town,Cozy,None,Indoor,No,Board Games,8 AM - 11 PM,None,Full Breakfast & Lunch,contact@cafecremyday.com,9.20E+11
219,Cafe Cremyday,2.7,"Cafe, Fast Food, Desserts, Beverages, Street Food, Momos, Sichuan",500,pune,Visited This place yesterday... Nice place to hangout with your friends ordered cawa crush and 1 combo both were decent like the taste staff very polite... ,Old Town,Rustic,Gluten-free options,Indoor,Yes,None,9 AM - 9 PM,Almond,Only Beverages,contact@cafecremyday.com,9.19E+11
220,Reminisce Cafe,3.1,"Cafe, Coffee, Sandwich, Pasta, Burger, Pizza, Fast Food, Beverages",650,pune,"Ordered Oreo shake and cheese fries...good quality. And taste is yummy ...must visit,❤️...love to visit again",Old Town,Rustic,None,Indoor,Yes,Live Music,6 AM - 8 PM,Oat,"Pastries, Sandwiches, Salads",contact@reminiscecafe.com,9.19E+11
221,Reminisce Cafe,3.1,"Cafe, Coffee, Sandwich, Pasta, Burger, Pizza, Fast Food, Beverages",650,pune,found a hair strand in 1st bite. spoiled my mood. taste is also not good ,Riverside,Rustic,Gluten-free options,Outdoor,No,Board Games,6 AM - 8 PM,Coconut,Full Breakfast & Lunch,contact@reminiscecafe.com,9.18E+11
222,Reminisce Cafe,3.1,"Cafe, Coffee, Sandwich, Pasta, Burger, Pizza, Fast Food, Beverages",650,pune,"best cafe i have ever visited/ordered proper maintained hygiene,feedback taken on every order to improve quality  ",Downtown,Cozy,Keto-friendly,Indoor,No,Open Mic Nights,8 AM - 11 PM,Oat,"Pastries, Sandwiches, Salads",contact@reminiscecafe.com,9.17E+11
223,Tea Trails Cafe,4.1,"Cafe, Tea, Fast Food, Beverages, Shake","1,100",pune,miss the whipped cream,Downtown,Cozy,Vegan-friendly,Both,Yes,Pet-friendly,8 AM - 11 PM,None,Full Breakfast & Lunch,contact@teatrailscafe.com,9.17E+11
224,Tea Trails Cafe,4.1,"Cafe, Tea, Fast Food, Beverages, Shake","1,100",pune,Tasteless food and worst cold coffee ever,City Center,Lively,Gluten-free options,Both,No,Pet-friendly,6 AM - 8 PM,Soy,Only Beverages,contact@teatrailscafe.com,9.18E+11
225,Tea Trails Cafe,4.1,"Cafe, Tea, Fast Food, Beverages, Shake","1,100",pune,"in store dining and online delivery product taste quality is different, you can do better.",Riverside,Quiet,Keto-friendly,Outdoor,No,Live Music,9 AM - 9 PM,Coconut,Only Beverages,contact@teatrailscafe.com,9.16E+11
226,Cafe Time Out,New,"Cafe, Coffee, Fast Food, Pizza, Burger, Sandwich, Shake, Beverages",450,pune,Good in taste 👍👍,Downtown,Quiet,Keto-friendly,Both,Yes,Open Mic Nights,7 AM - 10 PM,Almond,Full Breakfast & Lunch,contact@cafetimeout.com,9.18E+11
227,Aptez Dosa Cafe,-,"South Indian, Maharashtrian, Cafe",400,pune,It wasn't cooked properly & wasn't even fresh.,Downtown,Lively,None,Outdoor,Yes,Live Music,7 AM - 10 PM,Oat,"Pastries, Sandwiches, Salads",contact@aptezdosacafe.com,9.17E+11
228,Aptez Dosa Cafe,-,"South Indian, Maharashtrian, Cafe",400,pune,"test is worst,",Riverside,Lively,Gluten-free options,Indoor,No,None,9 AM - 9 PM,None,Full Breakfast & Lunch,contact@aptezdosacafe.com,9.17E+11
229,GoodFellas Cafe,4.5,"Cafe, Fast Food, Italian, Desserts, Beverages, Coffee",650,pune,"This is the first time I have ever left a Cafè in tears of JOY, and in a state pure BLISS! This place completely transformed for me the whole idea of what food is, the ritual of eating, and how moods transforms ingredients into art. In short, I cannot recommend it highly enough, even if a table can be hard to come by. Bring on 2022!",Old Town,Lively,Keto-friendly,Outdoor,Yes,Pet-friendly,9 AM - 9 PM,None,Only Beverages,contact@goodfellascafe.com,9.17E+11
230,GoodFellas Cafe,4.5,"Cafe, Fast Food, Italian, Desserts, Beverages, Coffee",650,pune,"Well worth any wait, I rarely rate restaurants but GoodFellas is absolutely one of a kind. Couldn’t ask for a more genuine experience, money can’t buy life experience. Truly UNBELIEVABLE, thanks for making the world a better place.",City Center,Lively,None,Indoor,Yes,Pet-friendly,9 AM - 9 PM,Coconut,Vegan & Organic Food,contact@goodfellascafe.com,9.17E+11
231,GoodFellas Cafe,4.5,"Cafe, Fast Food, Italian, Desserts, Beverages, Coffee",650,pune,"I have been there some time back and really amazed by the ambience .This is a small cute place for just eat and read books ,hang out with friends.I have ordered these three things and they are truly amazing.1. Alfredo Pasta 2. Bubble Tea3. WaffleIt was a nice experience 👍",Old Town,Cozy,Gluten-free options,Outdoor,No,None,6 AM - 8 PM,Almond,Full Breakfast & Lunch,contact@goodfellascafe.com,9.17E+11
232,Impresso Espresso Coffee,-,"Cafe, Pizza, Burger, Pasta, Fast Food, Beverages",500,pune,awesome ,Suburb,Rustic,Gluten-free options,Indoor,No,Board Games,7 AM - 10 PM,Soy,Only Beverages,contact@impressoespressocoffee.com,9.17E+11
233,Impresso Espresso Coffee,-,"Cafe, Pizza, Burger, Pasta, Fast Food, Beverages",500,pune,Nice Service N Very Very Good Food Quality..,Suburb,Lively,Vegan-friendly,Outdoor,No,Pet-friendly,9 AM - 9 PM,Soy,Full Breakfast & Lunch,contact@impressoespressocoffee.com,9.19E+11
234,Monk & Mongoose Cafe,-,"Cafe, Fast Food, Beverages, Sandwich",350,pune,Food is very tasty . Service is very good and professional.  To sum up a awesome experience .........,Downtown,Cozy,Keto-friendly,Outdoor,No,Live Music,6 AM - 8 PM,Almond,Full Breakfast & Lunch,contact@monkandmongoosecafe.com,9.17E+11
235,Monk & Mongoose Cafe,-,"Cafe, Fast Food, Beverages, Sandwich",350,pune,I tried the Mango and strawberry milkshake here we were impressed the consistency was thick and it tasted so good. Newly opened and first try didn't disappoint 😃 will visit again and try out other options as well,Old Town,Cozy,Vegan-friendly,Outdoor,No,None,7 AM - 10 PM,Coconut,Only Beverages,contact@monkandmongoosecafe.com,9.17E+11
236,Coffee Saaz,-,"Cafe, Fast Food, Sandwich, Coffee, Desserts, Beverages",300,pune,"The restaurant has the most unprofessional and unhygienic packing for their cold coffees.They sent 3 cold coffees and fries in a flimsy paper bag ...which tore while the delivery guy was handing over our order and the entire order - 3 cold coffees...spilled all over our doorstep. We took 20 minutes just to clean the mess that all the coffee made.... we had to wipe the place down thrice to ensure that it was all clean - to avoid having ants all over the place.So , it's safe to say that we can't comment on the taste because it was all on the floor.You need to improve your packing ...cold coffees in a flimsy paper bag is a big No No.And it cost us our evening ... so a refund was also...read more",City Center,Cozy,Keto-friendly,Indoor,No,Board Games,6 AM - 8 PM,Coconut,Vegan & Organic Food,contact@coffeesaaz.com,9.19E+11
237,Cafe Imbibe,-,"Cafe, Sandwich, Fast Food, Desserts, Shake, Beverages",600,pune,Burger was too good...,Riverside,Lively,Vegan-friendly,Indoor,No,Pet-friendly,7 AM - 10 PM,Almond,"Pastries, Sandwiches, Salads",contact@cafeimbibe.com,9.20E+11
238,Cafe Imbibe,-,"Cafe, Sandwich, Fast Food, Desserts, Shake, Beverages",600,pune,I love their sandwiches,Downtown,Cozy,None,Outdoor,No,Open Mic Nights,6 AM - 8 PM,None,Full Breakfast & Lunch,contact@cafeimbibe.com,9.18E+11
239,Maverick & Farmer Coffee,3.3,"Cafe, Beverages",500,bangalore,"Sad to see service at one of my favourite spots go down this badly. The drinks are still good, but one may as well get it home delivered. 1) there was only 1 fan working in the downstairs section and no fans on the second level. 2) I'm not sure why there needs to be such loud music when the atmosphere would be so much better without it. 3) The staff never get the order in one go. ",Old Town,Lively,None,Outdoor,No,Pet-friendly,7 AM - 10 PM,Oat,"Pastries, Sandwiches, Salads",contact@maverickandfarmercoffee.com,9.20E+11
240,Maverick & Farmer Coffee,3.3,"Cafe, Beverages",500,bangalore,food is bland and horrible especially the breakfast menu. the owners have no empathy towards the customers. the chicken sandwich which was supposed to have sundried tomatoes and olives was instead filled with cheese and normal tomatoes and jalapenos and the cold brew was tasteless with little flavour of coffee.  would definitely avoid,City Center,Cozy,None,Both,Yes,Board Games,8 AM - 11 PM,Almond,Only Beverages,contact@maverickandfarmercoffee.com,9.17E+11
241,Vedic Chai,3.5,"Cafe, Tea",600,bangalore,The ginger chai and palak corn sandwich are just amazing. Quiet ambience and good service. Good place to work. ,Downtown,Rustic,Keto-friendly,Indoor,No,Board Games,7 AM - 10 PM,Almond,Vegan & Organic Food,contact@vedicchai.com,9.18E+11
242,Vedic Chai,3.5,"Cafe, Tea",600,bangalore,Horrible service. The incharge is very rude. Doesn’t know how to talk to the customers.,Old Town,Quiet,Gluten-free options,Both,No,Board Games,7 AM - 10 PM,Coconut,Vegan & Organic Food,contact@vedicchai.com,9.18E+11
243,Conçu,New,"Cafe, Fast Food",500,bangalore,I tried -bagel cream cheese 4/5-edamame fava beans toast 5/5 (such a different combination but it all tastes so good together)-peach melba iced tea 5/5 so so refreshing; chunks of raspberries great taste Overall a great place with a great vibe Cant wait to try more things on the menu,Suburb,Modern,None,Both,Yes,Pet-friendly,9 AM - 9 PM,None,"Pastries, Sandwiches, Salads",contact@conçu.com,9.18E+11
244,Conçu,New,"Cafe, Fast Food",500,bangalore,"I ordered a box of 6 brownies, they usually come in a box.. but they just wrapped it around plastic and sent it",Riverside,Rustic,Vegan-friendly,Indoor,No,None,6 AM - 8 PM,Coconut,Vegan & Organic Food,contact@conçu.com,9.16E+11
245,Conçu,New,"Cafe, Fast Food",500,bangalore,went out for lunch at concu... it was really good n the host were warm welcoming and the service was excellent ,Riverside,Cozy,Vegan-friendly,Both,Yes,Live Music,7 AM - 10 PM,Coconut,Vegan & Organic Food,contact@conçu.com,9.17E+11
246,Mitico Coffee Roasters,4.3,"Cafe, Continental, Italian, Burger, North Indian, Salad, Shake, Beverages","1,100",bangalore,had a great time here,Riverside,Modern,None,Outdoor,No,Board Games,9 AM - 9 PM,Almond,"Pastries, Sandwiches, Salads",contact@miticocoffeeroasters.com,9.18E+11
247,Casa Fresco By Tea Brew,4,"Cafe, Continental, American, Pasta, Momos, Beverages, Bubble Tea, Burger",950,bangalore,"If you are not hungry and want to pass time at a nice Cafe, then this is your go to place. make sure you eat nicely before going here, because most of the items are tasteless or uncooked or presented in a way you won't want to eat. ",Riverside,Modern,None,Both,No,Live Music,7 AM - 10 PM,Soy,Vegan & Organic Food,contact@casafrescobyteabrew.com,9.19E+11
248,Casa Fresco By Tea Brew,4,"Cafe, Continental, American, Pasta, Momos, Beverages, Bubble Tea, Burger",950,bangalore,"The taste of pasta is very bad, its like they have just put the boil pasta in the sauce, the pasta itself has no flavour",Downtown,Lively,Keto-friendly,Indoor,Yes,Live Music,8 AM - 11 PM,None,Vegan & Organic Food,contact@casafrescobyteabrew.com,9.16E+11
249,Banoffee,4.1,"Cafe, Continental, Asian, Mexican, Italian, European, Beverages, Desserts","1,600",bangalore,"Tom Kha Chicken Soup here is a flavor explosion! Creamy, fragrant, and packed with tender chicken and aromatic herbs. The coconut milk base adds a wonderful richness that's perfectly complemented by the hints of lemongrass and galangal. ",Downtown,Quiet,Keto-friendly,Outdoor,Yes,None,8 AM - 11 PM,None,Full Breakfast & Lunch,contact@banoffee.com,9.20E+11
250,Banoffee,4.1,"Cafe, Continental, Asian, Mexican, Italian, European, Beverages, Desserts","1,600",bangalore,"Just had the Shanghai Hot & Sour Soup at this restaurant and it was fantastic! The balance of flavors was spot on - tangy, spicy, and loaded with fresh ingredients. Loved the touch of authenticity in every spoonful. A definite must-try for soup enthusiasts!",Downtown,Cozy,Vegan-friendly,Outdoor,Yes,Board Games,9 AM - 9 PM,None,"Pastries, Sandwiches, Salads",contact@banoffee.com,9.18E+11
251,Banoffee,4.1,"Cafe, Continental, Asian, Mexican, Italian, European, Beverages, Desserts","1,600",bangalore, Tomato Basil Soup warmed my heart and my taste buds. The rich tomato base combined with the fragrant basil notes resulted in a comforting and flavorful bowl. A perfect choice to lift your spirits on a chilly day.,City Center,Lively,Gluten-free options,Both,No,Pet-friendly,6 AM - 8 PM,Almond,"Pastries, Sandwiches, Salads",contact@banoffee.com,9.19E+11
252,Banoffee,4.1,"Cafe, Continental, Asian, Mexican, Italian, European, Beverages, Desserts","1,600",bangalore,"Salmon & Creamcheese Bagel offered a taste of luxury in every mouthful. The creamy cream cheese paired impeccably with the smoked salmon, creating a balanced and upscale combination. ",Downtown,Lively,Keto-friendly,Outdoor,Yes,Board Games,9 AM - 9 PM,Coconut,"Pastries, Sandwiches, Salads",contact@banoffee.com,9.19E+11
253,Cafe Azzure,3.9,"Cafe, Continental, Mexican, Italian, Fast Food, Desserts, Beverages","1,400",bangalore,"Refused zomato gold since its independence day, stupid service",Old Town,Rustic,None,Indoor,Yes,Open Mic Nights,7 AM - 10 PM,Coconut,Only Beverages,contact@cafeazzure.com,9.18E+11
254,SLAY Coffee Bar,4.8,"Cafe, Coffee, Beverages, Desserts, Bakery, Sandwich, Shake",400,bangalore,"Slay was good when until last year. Now their quality has gone down completely. Maybe they are trying to save costs but it has ruined the coffee completely. Even with an extra espresso shot, the coffee I received was extremely weak. The coffee didn’t taste or had caffeine at all. Slay has done a pathetic job in maintaining the uniqueness they came into the market with. Please don’t waste your money by ordering.",Suburb,Modern,Gluten-free options,Both,Yes,None,8 AM - 11 PM,Soy,Vegan & Organic Food,contact@slaycoffeebar.com,9.18E+11
255,Kana By Coffee Mechanics,New,"Cafe, Coffee, Pizza, Continental, Desserts, Beverages","1,000",bangalore,"The ambiance at the restaurant has a wonderful and inviting atmosphere, creating a pleasant dining experience. The service is exceptional, with attentive and friendly staff who make you feel well taken care of during your meal.",Riverside,Rustic,Keto-friendly,Both,No,Board Games,9 AM - 9 PM,Soy,"Pastries, Sandwiches, Salads",contact@kanabycoffeemechanics.com,9.19E+11
256,Kana By Coffee Mechanics,New,"Cafe, Coffee, Pizza, Continental, Desserts, Beverages","1,000",bangalore,"Rooftop restaurant - one of the best in class. Hospitality is a hit and miss, sometimes good sometimes bad but overall I'd take it. Thank you..Recommend to everyone. ",Downtown,Modern,Vegan-friendly,Outdoor,Yes,Live Music,7 AM - 10 PM,Coconut,Only Beverages,contact@kanabycoffeemechanics.com,9.17E+11
257,Kana By Coffee Mechanics,New,"Cafe, Coffee, Pizza, Continental, Desserts, Beverages","1,000",bangalore,Good place with excellent ambience and excellent service. Food was also tasty.Will definitely order again... Thank you....Maintained proper hygienic. ,Suburb,Modern,Gluten-free options,Indoor,No,Open Mic Nights,7 AM - 10 PM,Oat,Full Breakfast & Lunch,contact@kanabycoffeemechanics.com,9.16E+11
258,Kana By Coffee Mechanics,New,"Cafe, Coffee, Pizza, Continental, Desserts, Beverages","1,000",bangalore,Its a wonderful place and a must visit.Must say that it's not a pocket friendly but yes worth for each penny you pay....Definitely visit again. ,City Center,Cozy,Gluten-free options,Indoor,Yes,Open Mic Nights,6 AM - 8 PM,Soy,Full Breakfast & Lunch,contact@kanabycoffeemechanics.com,9.17E+11
259,Kana By Coffee Mechanics,New,"Cafe, Coffee, Pizza, Continental, Desserts, Beverages","1,000",bangalore,"Had an incredible brunch at Kana with a friend today and I would highly recommend the karaage chicken and grilled chicken burger! And if the delicious food isn’t enough, the quiet and serene ambience will surely make your day. The staff was especially accommodating and friendly, making our overall experience super enjoyable!",Suburb,Quiet,None,Outdoor,No,Live Music,8 AM - 11 PM,Soy,Full Breakfast & Lunch,contact@kanabycoffeemechanics.com,9.19E+11
260,Tutto Bene - Desserts Cafe by Little Italy,3.6,"Cafe, Coffee, Beverages, Shake, Panini, Italian, Desserts",900,bangalore,"What kind of cafe takes more than an hour of making just a cafe mocha? This place is a sham, uses the same place as little Italy restaurant. Imagine you being here for coffee and people are having their Italian meals. Ordered coffee which dint come, the french toast was soggy, milkshake watery. Avoid.",City Center,Cozy,None,Both,No,Pet-friendly,6 AM - 8 PM,None,Only Beverages,contact@tuttobene-dessertscafebylittleitaly.com,9.16E+11
261,Tutto Bene - Desserts Cafe by Little Italy,3.6,"Cafe, Coffee, Beverages, Shake, Panini, Italian, Desserts",900,bangalore,"I visited that place the day before yesterday we not knew about Tutto Bene it was my Frist experience i really loved it the fabulous thing is all the items are new concept, specially i recommend the items name cheesy masala it is simply in one word awesome 👍 we differently visit again and again.",Suburb,Quiet,Gluten-free options,Indoor,Yes,Open Mic Nights,8 AM - 11 PM,Oat,"Pastries, Sandwiches, Salads",contact@tuttobene-dessertscafebylittleitaly.com,9.17E+11
262,Tutto Bene - Desserts Cafe by Little Italy,3.6,"Cafe, Coffee, Beverages, Shake, Panini, Italian, Desserts",900,bangalore,"From the moment you step into Tutto Bene, you're instantly transported into a dessert wonderland. The quaint and whimsical decor perfectly matches the charm of this boutique dessert shop, making every visit an absolute delight.Their selection is nothing short of breathtaking, with an array of beautifully crafted desserts, from rich and moist cakes to delightfully flaky pastries, and some of the most creatively presented cheesecakes I've ever seen. Every dessert not only appeals to the taste buds but is also a visual treat, reflecting the shop's commitment to quality and presentation.The standout for me has to be their signature lotus biscoff cheesecake – Each bite sends a burst of...read more",Old Town,Cozy,Gluten-free options,Indoor,No,Open Mic Nights,7 AM - 10 PM,Coconut,"Pastries, Sandwiches, Salads",contact@tuttobene-dessertscafebylittleitaly.com,9.20E+11
263,Kargeens,3.6,"Cafe, Street Food, Chinese, Asian, Mediterranean, Pasta, Pizza, Shake","1,100",bangalore,ruth. she is the best waitress you could ever ask for. she makes the hookah the besttt,Riverside,Rustic,None,Both,No,Board Games,7 AM - 10 PM,Soy,Only Beverages,contact@kargeens.com,9.18E+11
264,Kargeens,3.6,"Cafe, Street Food, Chinese, Asian, Mediterranean, Pasta, Pizza, Shake","1,100",bangalore,The place is really great and the ambience too and especially the staff here are very good especially Sapu and Kimi Thank you soo much for the great service!,City Center,Lively,Gluten-free options,Indoor,Yes,None,7 AM - 10 PM,Coconut,Vegan & Organic Food,contact@kargeens.com,9.19E+11
265,Kargeens,3.6,"Cafe, Street Food, Chinese, Asian, Mediterranean, Pasta, Pizza, Shake","1,100",bangalore,good restaurants nice staff specially staff name nitolu very such gud guy,Old Town,Quiet,Vegan-friendly,Outdoor,Yes,Live Music,8 AM - 11 PM,None,Vegan & Organic Food,contact@kargeens.com,9.17E+11
266,Kargeens,3.6,"Cafe, Street Food, Chinese, Asian, Mediterranean, Pasta, Pizza, Shake","1,100",bangalore,Great Ambiance and food. superb service and hospitality from Ms Ruth and Alitywill definitely visit again :),City Center,Lively,None,Outdoor,No,Pet-friendly,6 AM - 8 PM,Almond,"Pastries, Sandwiches, Salads",contact@kargeens.com,9.18E+11
267,Cool Street,New,"Cafe, Coffee, Ice Cream, Desserts, Juices, Shake, Beverages",400,bangalore,happy with the service,Downtown,Lively,None,Outdoor,Yes,Open Mic Nights,8 AM - 11 PM,Oat,Vegan & Organic Food,contact@coolstreet.com,9.18E+11
268,The Coffee Brewery,4.3,"Cafe, Coffee, Sandwich, Fast Food, Desserts, Tea, Beverages","1,400",bangalore,This place has an amazing. Food is also amazing. perfect place if you want to spend some good and quite time with your friends. They have a bunch of games as well that you can play with your friends. ,Old Town,Cozy,Vegan-friendly,Indoor,No,Open Mic Nights,6 AM - 8 PM,Oat,Vegan & Organic Food,contact@thecoffeebrewery.com,9.17E+11
269,The Coffee Brewery,4.3,"Cafe, Coffee, Sandwich, Fast Food, Desserts, Tea, Beverages","1,400",bangalore,"White pasta , veg cheese meggy and all item's is very good.Toffe nut latte, cappuccino and all hot coffee and cold coffee is very nice.",Downtown,Quiet,Keto-friendly,Outdoor,No,Open Mic Nights,9 AM - 9 PM,Coconut,Vegan & Organic Food,contact@thecoffeebrewery.com,9.18E+11
270,The Farmhouse Kitchen & Bakery,3.5,"Cafe, Italian, Continental, Healthy Food, Beverages, Desserts","1,200",bangalore,"We arrived and placed our order at 3:30, but it took a whole 45 minutes for the first item to be delivered. The gnocchi pesto pasta was disappointing, with the gnocchi resembling mush and lacking any texture. Our order of ratatouille was more akin to mixed vegetables, rather than the traditional dish. Thankfully, the drinks were nice, providing a solitary redeeming factor. A mix-up occurred where our gnocchi pasta was initially delivered to the wrong table, then subsequently brought to us. This was an unacceptable mistake. Overall, Farmhouse used to be a quality restaurant, but its standards have evidently declined. Sadly, I don't see it making a comeback. It's done.",Suburb,Lively,None,Indoor,Yes,Board Games,8 AM - 11 PM,Almond,"Pastries, Sandwiches, Salads",contact@thefarmhousekitchenandbakery.com,9.17E+11
271,The Farmhouse Kitchen & Bakery,3.5,"Cafe, Italian, Continental, Healthy Food, Beverages, Desserts","1,200",bangalore,"Usually, this dish is made in a tomato based gravy. We have been buying this from the last 2 years from this restaurant. Atleast once a month. This was the first time that the dish was bad. Seems like they ran out of the tomato gravy so just sent roasted veggies. Disappointing.",City Center,Cozy,Vegan-friendly,Both,No,Live Music,9 AM - 9 PM,None,Full Breakfast & Lunch,contact@thefarmhousekitchenandbakery.com,9.17E+11
272,The Farmhouse Kitchen & Bakery,3.5,"Cafe, Italian, Continental, Healthy Food, Beverages, Desserts","1,200",bangalore,food is awfully ,Old Town,Cozy,Keto-friendly,Indoor,Yes,None,8 AM - 11 PM,Oat,Vegan & Organic Food,contact@thefarmhousekitchenandbakery.com,9.17E+11
273,The Farmhouse Kitchen & Bakery,3.5,"Cafe, Italian, Continental, Healthy Food, Beverages, Desserts","1,200",bangalore,We keep coming back here because of the food and the ambience. This place is kid-friendly and the staff is very courteous. ,Riverside,Cozy,Keto-friendly,Indoor,Yes,Pet-friendly,8 AM - 11 PM,Coconut,Only Beverages,contact@thefarmhousekitchenandbakery.com,9.17E+11
274,The Farmhouse Kitchen & Bakery,3.5,"Cafe, Italian, Continental, Healthy Food, Beverages, Desserts","1,200",bangalore,Nice place with soothing ambience . the staff were courteous and humble. We had Margherita pizza with BLT Sandwitch + mango milkshake + brownie with ice cream. shakes were ok but overpriced. BLT Sandwitch portion size was good but it was dry to the pallate. The brownie prepared had just right balance of sugar. loved it and must try. Overall price for above menu costed between Rs 1700 - Rs 1900.Cheers !,Riverside,Rustic,Gluten-free options,Both,No,Board Games,8 AM - 11 PM,Soy,Vegan & Organic Food,contact@thefarmhousekitchenandbakery.com,9.18E+11
275,Secret Spot Cafe,4,"Cafe, Coffee, Sandwich, Burger, Italian, Fast Food, Desserts, Beverages",700,bangalore,"Worst ever experience in Bangalore, peri peri fries were just red chilli fries, pasta had a weird taste, the staff didn’t know anything.",Suburb,Rustic,Gluten-free options,Both,No,Pet-friendly,8 AM - 11 PM,Oat,Vegan & Organic Food,contact@secretspotcafe.com,9.18E+11
276,Secret Spot Cafe,4,"Cafe, Coffee, Sandwich, Burger, Italian, Fast Food, Desserts, Beverages",700,bangalore,There was cockroach on the sofa and it came on the table as well.,Suburb,Quiet,Vegan-friendly,Outdoor,Yes,Open Mic Nights,9 AM - 9 PM,Oat,Vegan & Organic Food,contact@secretspotcafe.com,9.17E+11
277,HumbleBean Coffee,4,"Cafe, Coffee, Beverages, Bakery, Desserts, Healthy Food, ",650,bangalore,"Hello HumbleBean Coffee, It's my humble request to change the name of Orissa(old) to Odisha(new) since it's been a decade the name has gotten a new touch yet many people aren't aware of it. Kudos to your wonderful team and the ambience is fabulous. In the home blend section, the part where you mentioned Koraput coffee under Orissa(old), please do change it to Odisha. 🤜🤛 let's Humbleeee!!!",Riverside,Lively,Gluten-free options,Indoor,Yes,Live Music,8 AM - 11 PM,None,Full Breakfast & Lunch,contact@humblebeancoffee.com,9.17E+11
278,The Coffee House,4,"Cafe, North Indian, Fast Food, South Indian, Street Food, Beverages, Desserts",600,bangalore,good ,Riverside,Modern,None,Outdoor,Yes,Board Games,9 AM - 9 PM,Coconut,Vegan & Organic Food,contact@thecoffeehouse.com,9.19E+11
279,Fresh Pressery Cafe,4.2,"Cafe, Healthy Food, Fast Food, Sandwich, Beverages, Desserts","1,400",bangalore,the taste of the acai bowl was horrible ,Downtown,Cozy,Gluten-free options,Indoor,No,Board Games,9 AM - 9 PM,None,"Pastries, Sandwiches, Salads",contact@freshpresserycafe.com,9.20E+11
280,Fresh Pressery Cafe,4.2,"Cafe, Healthy Food, Fast Food, Sandwich, Beverages, Desserts","1,400",bangalore,Got the wrong order,Downtown,Lively,Vegan-friendly,Indoor,Yes,Open Mic Nights,6 AM - 8 PM,Almond,Only Beverages,contact@freshpresserycafe.com,9.17E+11
281,TROT - The Republic Of Taste,New,"Cafe, Coffee, Beverages, Salad, Mexican, Desserts",450,bangalore,"value for money , good quantity and quality, best packaging, ",Suburb,Rustic,Gluten-free options,Outdoor,Yes,Pet-friendly,6 AM - 8 PM,Coconut,Full Breakfast & Lunch,contact@trot-therepublicoftaste.com,9.16E+11
282,Ciciana,3.7,"Cafe, Coffee, Italian, Fast Food, Salad, Desserts, Beverages","1,200",bangalore,"We ordered Sloppy Joe chicken burger, chicken club sandwich and Vietnamese coffee. Rating the food for the convenience of the fellow foodies:Sloppy Joe: For all the spicy food lovers, this is recommended as it is amazingly good but bit on the spicer side. (Image attached🍔)Chicken Club Sandwich: It has non spicy and mild taste. I recommend this to all the sandwich lovers. It is huge and tasty. Good to satisfy the hunger of two. (Forgot to capture the picture as I was too hungry😅)Vietnamese coffee: Needs Improvement, nothing like the real vietnamese coffee. Bit bitter.",Downtown,Lively,Vegan-friendly,Both,No,Pet-friendly,7 AM - 10 PM,Oat,Vegan & Organic Food,contact@ciciana.com,9.17E+11
283,Ciciana,3.7,"Cafe, Coffee, Italian, Fast Food, Salad, Desserts, Beverages","1,200",bangalore,"Packaging was different, didn’t like the new packaging",Downtown,Lively,Vegan-friendly,Both,Yes,Live Music,8 AM - 11 PM,Soy,Full Breakfast & Lunch,contact@ciciana.com,9.18E+11
284,Ciciana,3.7,"Cafe, Coffee, Italian, Fast Food, Salad, Desserts, Beverages","1,200",bangalore,I visited this pretty Italian restaurant to catchup with a friend. The interiors are quite aesthetic and they have a separate smoking sitting area. We started with some shakes and mocktails which were nice. Then we had the farmhouse pizza which was loaded with veggies and tasted pretty good. We were in a hurry and couldn’t try any more items but their desserts also looked quite tempting. The service was also good.,City Center,Cozy,Vegan-friendly,Outdoor,No,Pet-friendly,9 AM - 9 PM,Oat,Full Breakfast & Lunch,contact@ciciana.com,9.18E+11
